Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,Cluster,Method
-0.11914969565977977,-0.07071636836922263,0.05569499475208968,0.01271839182734285,0.09612540115421682,0.14721292469766406,Batch,Seurat
-0.1151498787721633,-0.06811256717624753,-0.035537459221431214,0.01014478871102241,0.09076417461019604,0.1377973295256731,Batch,Seurat
-0.11015091894196441,-0.06514016716306568,0.04827044634930995,0.011991393670942044,0.08893353118379266,0.1461970351097571,Batch,Seurat
-0.107961921520809,-0.06574944871172753,-0.03750277155143944,0.009353612601677908,0.08903333247433415,0.1330908623001732,Batch,Seurat
-0.11150415412218526,-0.06669728583144825,0.04584924815012831,0.012166775760117226,0.09186716725980776,0.13790428917938402,Batch,Seurat
-0.11282282199499392,-0.0622031636399931,0.04482695877081119,0.010451559584126165,0.0821913672862772,0.12636661662162205,Batch,Seurat
-0.11636176861200938,-0.06778461626042614,0.0471318700390789,0.011253986434874642,0.09103997068453396,0.13024909774187293,Batch,Seurat
-0.12257078739235025,-0.06790640023641811,-0.03657596370984338,0.010149815339554983,0.090940327348757,0.14162640170611623,Batch,Seurat
-0.10657796006655879,-0.06622029072061791,-0.03844771356833589,0.008563170116626493,0.0873968221549409,0.1301936388162339,Batch,Seurat
-0.11614280120434829,-0.06420667371372568,0.050166694984020876,0.011817994671505098,0.08744618956303787,0.1300054547566807,Batch,Seurat
-0.10840622637573306,-0.06300633187923708,0.051760569885973745,0.012457922909737991,0.08683965854457636,0.13037700547533157,Batch,Seurat
-0.11205078592460263,-0.07045058142375146,0.003956106890741901,0.010903916378164995,0.09315748633192214,0.13777988745571754,Batch,Seurat
-0.11296797468787399,-0.0659800198160134,-0.034665324680662954,0.010071211168118033,0.08873952256911452,0.14178550132705245,Batch,Seurat
-0.11707760121643547,-0.06431841793863832,0.05309479776888468,0.012017211202285973,0.08654282475339047,0.13568732444450718,Batch,Seurat
-0.1216161660388069,-0.07164525648121269,-0.03324962713979081,0.011872701778280747,0.09658524352954714,0.14876878169743527,Batch,Seurat
-0.11811011274550581,-0.06676270109910319,-0.03103961228849934,0.010043649464950243,0.0898131823324133,0.12781688666535979,Batch,Seurat
-0.11701725130530363,-0.0695679104676104,0.04542331792866858,0.012039313483890413,0.09338043156983288,0.13632425674567422,Batch,Seurat
-0.11406238352796128,-0.06646830479525911,-0.033375291643262694,0.01069236956053578,0.09069792939775781,0.1353946906728574,Batch,Seurat
-0.11119262095527348,-0.06693946890912111,-0.026883675677554786,0.011295861000136685,0.09069349563248515,0.12929532385328396,Batch,Seurat
-0.10922238813219992,-0.0646953773292485,-0.0285040540536006,0.010703365565903103,0.08759038235097419,0.13857951542704733,Batch,Seurat
0.006407619220180998,0.02856928159133913,0.039741643411319194,0.04738898342572754,0.056345164265371575,0.14947099525177412,Group,Seurat
0.012427115490814022,0.0338591845205857,0.04189583032681661,0.04885021257007343,0.05327456157195906,0.1623026269612834,Group,Seurat
0.006735520469214914,0.032263635206807584,0.04230130679448141,0.04889983512897189,0.05327164337400561,0.1586977082634715,Group,Seurat
0.008566117543125435,0.031612988103811385,0.04070369095727584,0.04774688814876831,0.053600354675209017,0.14974321728914522,Group,Seurat
-0.003232924232571904,0.02678808822803942,0.03723797355788383,0.04614710283070919,0.05641323332814301,0.16836580521040814,Group,Seurat
0.010185125852991481,0.03364980185304729,0.041254352733950936,0.04743155648183145,0.05116163633437025,0.16160481605858248,Group,Seurat
0.006821074411328085,0.031459278103341703,0.04112527440271457,0.04946749151057472,0.053241271538038135,0.1761330745593131,Group,Seurat
0.0036585538223300224,0.027504098981106107,0.0377198953361702,0.04673399169527524,0.05442270308936857,0.17016214726683673,Group,Seurat
0.010258291948988914,0.03304473312370801,0.041198078123521414,0.04912325725152058,0.05271334673457209,0.18385616403357546,Group,Seurat
0.006831061366785188,0.030514810506413532,0.039856242479592296,0.04768900706074391,0.055574887662047684,0.18141670700299484,Group,Seurat
0.007910427880808603,0.03362130102806615,0.042584982197143975,0.04943226810902955,0.0539188664848623,0.1706478143751236,Group,Seurat
0.012164964963818295,0.03398400307867119,0.04242006138646029,0.048936240872145556,0.05295005530749802,0.16400402166187267,Group,Seurat
0.004163871896502865,0.030124651402471628,0.03902743721202276,0.047399336078960096,0.054515212181882974,0.19012417288574543,Group,Seurat
0.009442095721955167,0.03532766808420572,0.04394334475107284,0.049385338864330885,0.05410999174463692,0.14039348325695628,Group,Seurat
0.0058201679148719146,0.028331260127910318,0.03890033053321992,0.04657950556136022,0.05665691634843959,0.16511743468868392,Group,Seurat
0.014039750801866844,0.03307807588849261,0.04133290904517177,0.04883764516388521,0.052793109431428356,0.17781486820709227,Group,Seurat
2.652498923939819e-4,0.024634607369984275,0.03666360995044538,0.04611895373971672,0.06168416641908623,0.14802710505305974,Group,Seurat
0.011281056318987525,0.03320940267571007,0.041540537319576736,0.048138024885901735,0.05325786883418155,0.1578550589707552,Group,Seurat
0.00470526061552307,0.029885371410447913,0.03962568228250342,0.04844667355958833,0.054189074986088825,0.17705652013830706,Group,Seurat
-2.5427987768276874e-4,0.030598056529152862,0.04004982086469547,0.047909818982366584,0.05257893221869632,0.17123724904469442,Group,Seurat
