method,sample_size,median_rr
Seurat,0.05,0.6096256684491979
Seurat,0.1,0.6096256684491979
Seurat,0.15000000000000002,0.5989304812834224
Seurat,0.2,0.6016042780748663
Seurat,0.25,0.6042780748663101
