method,sample_size,median_rr
JIVE,0.05,0.14705882352941174
JIVE,0.1,0.17379679144385027
JIVE,0.15000000000000002,0.14705882352941174
JIVE,0.2,0.18449197860962568
JIVE,0.25,0.18181818181818182
