Method,Label,Mean
JIVE,Batch,0.009577073814658856
JIVE,Batch,0.009757033662582171
JIVE,Batch,0.007832944551013233
JIVE,Batch,0.009237057247888312
JIVE,Batch,0.010613278919349284
JIVE,Batch,0.009632785330750522
JIVE,Batch,0.009151409941103627
JIVE,Batch,0.011404120366540593
JIVE,Batch,0.009137230730859687
JIVE,Batch,0.010769163372375037
JIVE,Batch,0.009084506657030264
JIVE,Batch,0.00987399495938097
JIVE,Batch,0.00891199074492226
JIVE,Batch,0.011010702666278235
JIVE,Batch,0.008703334875336782
JIVE,Batch,0.008068042153368071
JIVE,Batch,0.010613062068980812
JIVE,Batch,0.006958904884372398
JIVE,Batch,0.00906468731892371
JIVE,Batch,0.009578430627103689
JIVE,Cluster,0.11135653988143303
JIVE,Cluster,0.11636762762944924
JIVE,Cluster,0.12059475601024672
JIVE,Cluster,0.11559718478068094
JIVE,Cluster,0.11164078774063141
JIVE,Cluster,0.12026419576030144
JIVE,Cluster,0.11767171000276233
JIVE,Cluster,0.12004379814769603
JIVE,Cluster,0.11496302479960877
JIVE,Cluster,0.12181124343483818
JIVE,Cluster,0.11394688662657415
JIVE,Cluster,0.11464032585899003
JIVE,Cluster,0.11563303739692114
JIVE,Cluster,0.12017709241917247
JIVE,Cluster,0.1168222621371419
JIVE,Cluster,0.10666872065407283
JIVE,Cluster,0.11988708094961717
JIVE,Cluster,0.11729128719139206
JIVE,Cluster,0.1146380149310734
JIVE,Cluster,0.1150756249096973
