Label,LISI,Method
Batch,1.5855345391427993,Harmony
Cluster,1.0490731329885334,Harmony
Batch,1.3145018790303196,Harmony
Cluster,1,Harmony
Batch,1.6019603495092174,Harmony
Cluster,1,Harmony
Batch,1.8243363025038386,Harmony
Cluster,1,Harmony
Batch,1.3007011430356743,Harmony
Cluster,1,Harmony
Batch,1.9373011082525662,Harmony
Cluster,1.0024311058691702,Harmony
Batch,1.2456414733873455,Harmony
Cluster,1,Harmony
Batch,1.6119578697074506,Harmony
Cluster,1.0249796986402766,Harmony
Batch,1.2340237134583647,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.3366781559909946,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.3680763679230608,Harmony
Cluster,1,Harmony
Batch,1.1282530621190705,Harmony
Cluster,1,Harmony
Batch,1.9839720958514504,Harmony
Cluster,1,Harmony
Batch,1.1732218980351274,Harmony
Cluster,1,Harmony
Batch,1.7578084977322026,Harmony
Cluster,1.0067527252047557,Harmony
Batch,1.7707015127062782,Harmony
Cluster,1.004845860623402,Harmony
Batch,1.281342415921901,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.9037566767715088,Harmony
Cluster,1.006344395108456,Harmony
Batch,1.9999326490195575,Harmony
Cluster,1.00214605504718,Harmony
Batch,1.1574132454646318,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.615071308314017,Harmony
Cluster,1.0023764905818755,Harmony
Batch,1.5583889046590742,Harmony
Cluster,1.0035465183871535,Harmony
Batch,1.2849288553139777,Harmony
Cluster,1.01778075513364,Harmony
Batch,1.9981388499850798,Harmony
Cluster,1.0066615151977667,Harmony
Batch,1.931667883706156,Harmony
Cluster,1,Harmony
Batch,1.256764545268635,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.6467748310045713,Harmony
Cluster,1.0428032743735685,Harmony
Batch,1.8960056494070539,Harmony
Cluster,1,Harmony
Batch,1.8718296829851735,Harmony
Cluster,1.0087022579855252,Harmony
Batch,1.1753543800895003,Harmony
Cluster,1,Harmony
Batch,1.472750645291209,Harmony
Cluster,1,Harmony
Batch,1.4861679294103682,Harmony
Cluster,1,Harmony
Batch,1.2484675042072513,Harmony
Cluster,1,Harmony
Batch,1.0816473622924627,Harmony
Cluster,1,Harmony
Batch,1.9999960661011826,Harmony
Cluster,1,Harmony
Batch,1.6613005988284253,Harmony
Cluster,1.003085220178335,Harmony
Batch,1.5335366882497539,Harmony
Cluster,1,Harmony
Batch,1.4855520780236404,Harmony
Cluster,1,Harmony
Batch,1.7678763086286415,Harmony
Cluster,1.0023389863678922,Harmony
Batch,1.6256570278220612,Harmony
Cluster,1.0073109068962076,Harmony
Batch,1.2256753936636797,Harmony
Cluster,1,Harmony
Batch,1.8839617148693164,Harmony
Cluster,1.0177830805829355,Harmony
Batch,1.3476958959086012,Harmony
Cluster,1,Harmony
Batch,1.6783070144654832,Harmony
Cluster,1.0162879004105516,Harmony
Batch,1.3911635860384721,Harmony
Cluster,1.0044756488597832,Harmony
Batch,1.4583907512425924,Harmony
Cluster,1,Harmony
Batch,1.3884012391509792,Harmony
Cluster,1.022590968973709,Harmony
Batch,1.996664612148995,Harmony
Cluster,1.0135812023924053,Harmony
Batch,1.2493920595210697,Harmony
Cluster,1.0027788218773694,Harmony
Batch,1.2410204152885946,Harmony
Cluster,1,Harmony
Batch,1.2411976097885764,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.9822744271016208,Harmony
Cluster,1.00254776892385,Harmony
Batch,1.6857620104852102,Harmony
Cluster,1,Harmony
Batch,1.7794969236469274,Harmony
Cluster,1,Harmony
Batch,1.4755345994287523,Harmony
Cluster,1,Harmony
Batch,1.1744817364902724,Harmony
Cluster,1,Harmony
Batch,1.309692943014778,Harmony
Cluster,1,Harmony
Batch,1.4112782397973185,Harmony
Cluster,1,Harmony
Batch,1.6094799325201345,Harmony
Cluster,1,Harmony
Batch,1.3499299683058796,Harmony
Cluster,1.0029084164581379,Harmony
Batch,1.8474405605324793,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.204574196651684,Harmony
Cluster,1.0052194001815058,Harmony
Batch,1.503571072552694,Harmony
Cluster,1.0121450859700647,Harmony
Batch,1.4128275066992941,Harmony
Cluster,1,Harmony
Batch,1.2795166102325735,Harmony
Cluster,1,Harmony
Batch,1.4496531903629806,Harmony
Cluster,1.0135920279140833,Harmony
Batch,1.7971387759539779,Harmony
Cluster,1.0229240040747718,Harmony
Batch,1.9884301097800299,Harmony
Cluster,1.0020559476408377,Harmony
Batch,1.1669196249794653,Harmony
Cluster,1,Harmony
Batch,1.2717343953010107,Harmony
Cluster,1,Harmony
Batch,1.7511741624504433,Harmony
Cluster,1.9980076153632982,Harmony
Batch,1.2666383925265674,Harmony
Cluster,1.002577745671989,Harmony
Batch,1.9800156362218644,Harmony
Cluster,1.0996848485849928,Harmony
Batch,1.573517323163267,Harmony
Cluster,1,Harmony
Batch,1.774427945193389,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.193074761564985,Harmony
Cluster,1,Harmony
Batch,1.7058773834183953,Harmony
Cluster,1,Harmony
Batch,1.992826061082771,Harmony
Cluster,1,Harmony
Batch,1.2739581038658767,Harmony
Cluster,1,Harmony
Batch,1.9112830120917539,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.6863770355334402,Harmony
Cluster,1.0034245288131287,Harmony
Batch,1.7830866650718429,Harmony
Cluster,1,Harmony
Batch,1.460885099871859,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.841263397503176,Harmony
Cluster,1.001849709272414,Harmony
Batch,1.2529071579298412,Harmony
Cluster,1,Harmony
Batch,1.606628913240666,Harmony
Cluster,1,Harmony
Batch,1.2130776448587293,Harmony
Cluster,1,Harmony
Batch,1.9954961267659554,Harmony
Cluster,1.0012899583876151,Harmony
Batch,1.992495075386827,Harmony
Cluster,1.006092983817823,Harmony
Batch,1.996972739238914,Harmony
Cluster,1.2806174974564446,Harmony
Batch,1.3078231430019025,Harmony
Cluster,1.006665729315652,Harmony
Batch,1.2993297474294052,Harmony
Cluster,1,Harmony
Batch,1.5038888291141537,Harmony
Cluster,1,Harmony
