Method,sample_size,median_rr
JIVE,0.05,0.5728346456692913
JIVE,0.1,0.6653543307086615
JIVE,0.15000000000000002,0.7086614173228346
JIVE,0.2,0.7283464566929134
JIVE,0.25,0.7244094488188977
