Label,LISI,Method
Batch,1.5089527766909956,Raw
Cluster,1.1537601056031583,Raw
Batch,1.5195919929460844,Raw
Cluster,1.0091054931616,Raw
Batch,1.8166185267691703,Raw
Cluster,1.0072527001672942,Raw
Batch,1.229314240739679,Raw
Cluster,1.0022816272557806,Raw
Batch,1.3069801636914224,Raw
Cluster,1,Raw
Batch,1.9533757325792378,Raw
Cluster,1.002341737628783,Raw
Batch,1.141347930849595,Raw
Cluster,1.0201829116658794,Raw
Batch,1.247204021997197,Raw
Cluster,1.053475295139612,Raw
Batch,1.1388350605877036,Raw
Cluster,1.0116964896416947,Raw
Batch,1.6327087583400994,Raw
Cluster,1.1146067134684774,Raw
Batch,1.418601844124832,Raw
Cluster,1,Raw
Batch,1.104635266475621,Raw
Cluster,1,Raw
Batch,1.8097662882296173,Raw
Cluster,1.0167290233312278,Raw
Batch,1.2428877977926134,Raw
Cluster,1.0032502709802842,Raw
Batch,1.3107134816324169,Raw
Cluster,1.040308256895797,Raw
Batch,1.970747399588412,Raw
Cluster,1,Raw
Batch,1.3039925762296365,Raw
Cluster,1,Raw
Batch,1.5307383438722875,Raw
Cluster,1.037681494597939,Raw
Batch,1.835428499537101,Raw
Cluster,1.0867624035548002,Raw
Batch,1.1781676969355752,Raw
Cluster,1.0184928744429227,Raw
Batch,1.1208288449570096,Raw
Cluster,1.0022595583478182,Raw
Batch,1.7505555192824829,Raw
Cluster,1,Raw
Batch,1.1684102056818175,Raw
Cluster,1.0021928773223587,Raw
Batch,1.830392861025158,Raw
Cluster,1.0048115799715351,Raw
Batch,1.6791650522580472,Raw
Cluster,1.005520605413107,Raw
Batch,1.133456618426384,Raw
Cluster,1.0129320888403088,Raw
Batch,1.4264518938464823,Raw
Cluster,1.0413221751508042,Raw
Batch,1.1877790688467638,Raw
Cluster,1.0149164495936336,Raw
Batch,1.9994673359836233,Raw
Cluster,1.0000001192093038,Raw
Batch,1.1075774640773888,Raw
Cluster,1.0164829552872354,Raw
Batch,1.0535338186498557,Raw
Cluster,1.0232473306790184,Raw
Batch,1.1620143196469392,Raw
Cluster,1.0641719379314625,Raw
Batch,1.157146246666134,Raw
Cluster,1,Raw
Batch,1.0378372413598278,Raw
Cluster,1.0033106481251992,Raw
Batch,1.9669948446921222,Raw
Cluster,1,Raw
Batch,1.5939585028645127,Raw
Cluster,1,Raw
Batch,1.6285100418174534,Raw
Cluster,1,Raw
Batch,1.902704193584532,Raw
Cluster,1.0159445201085466,Raw
Batch,1.0888572949644761,Raw
Cluster,1.0045674024321156,Raw
Batch,1.8509076509973599,Raw
Cluster,1,Raw
Batch,1.201265950518159,Raw
Cluster,1.0018558058817495,Raw
Batch,1.9989391235139509,Raw
Cluster,1,Raw
Batch,1.1995136744097579,Raw
Cluster,1.0100372482270297,Raw
Batch,1.4474352723720656,Raw
Cluster,1.0364404743254247,Raw
Batch,1.2023237238686848,Raw
Cluster,1.0208481075488736,Raw
Batch,1.6928153553539016,Raw
Cluster,1,Raw
Batch,1.3349588604133984,Raw
Cluster,1.0141024982465614,Raw
Batch,1.4243961385943074,Raw
Cluster,1.0400942751801894,Raw
Batch,1.4510104728740152,Raw
Cluster,1.1353380828190347,Raw
Batch,1.0899516648625514,Raw
Cluster,1.0264135219731467,Raw
Batch,1.072325442269375,Raw
Cluster,1.0080783711706265,Raw
Batch,1.4780906573431067,Raw
Cluster,1.0037590345816976,Raw
Batch,1.4627855264654446,Raw
Cluster,1.0257121191463203,Raw
Batch,1.1943081541692844,Raw
Cluster,1,Raw
Batch,1.533810839364821,Raw
Cluster,1,Raw
Batch,1.1687009098988994,Raw
Cluster,1.006489003243482,Raw
Batch,1.266283575829536,Raw
Cluster,1.0025852850382813,Raw
Batch,1.6636365871981456,Raw
Cluster,1.0020885929364547,Raw
Batch,1.3149904346469419,Raw
Cluster,1.005087136184688,Raw
Batch,1.2293008534374679,Raw
Cluster,1,Raw
Batch,1.4723845688742605,Raw
Cluster,1.0043737687000325,Raw
Batch,1.233154599760138,Raw
Cluster,1.0093505959126445,Raw
Batch,1.1970269608242996,Raw
Cluster,1.006289099108759,Raw
Batch,1.2196862552307688,Raw
Cluster,1.0095222689246923,Raw
Batch,1.8531954410344291,Raw
Cluster,1.0069413837864496,Raw
Batch,1.8520321836814297,Raw
Cluster,1.040202143108623,Raw
Batch,1.5403252076111669,Raw
Cluster,1.026536286786738,Raw
Batch,1.7670080996088096,Raw
Cluster,1.002620888166976,Raw
Batch,1.4497301425099025,Raw
Cluster,1.0267363145082202,Raw
Batch,1.1519621493607441,Raw
Cluster,1.0072102229418969,Raw
Batch,1.5205700487255105,Raw
Cluster,1.2054974528927556,Raw
Batch,1.105960732613857,Raw
Cluster,1.0036606790355185,Raw
Batch,1.4802959534704954,Raw
Cluster,1.0387314450146699,Raw
Batch,1.785251896429961,Raw
Cluster,1,Raw
Batch,1.7702186908635293,Raw
Cluster,1,Raw
Batch,1.2707416772730369,Raw
Cluster,1.0251514421862387,Raw
Batch,1.2932856661844987,Raw
Cluster,1,Raw
Batch,1.9790722031492582,Raw
Cluster,1,Raw
Batch,1.3204212081160371,Raw
Cluster,1.064525929353496,Raw
Batch,1.792827225927451,Raw
Cluster,1.0106941944268302,Raw
Batch,1.94549574308701,Raw
Cluster,1,Raw
Batch,1.5455011822932978,Raw
Cluster,1.0124684601450478,Raw
Batch,1.2101755622579335,Raw
Cluster,1.022979865776721,Raw
Batch,1.9997024978736226,Raw
Cluster,1,Raw
Batch,1.2744097225995121,Raw
Cluster,1.0018332130152385,Raw
Batch,1.7734533195718143,Raw
Cluster,1,Raw
Batch,1.1546470484077953,Raw
Cluster,1.0026651107008642,Raw
Batch,1.9469191969888533,Raw
Cluster,1.006693060708131,Raw
Batch,1.881849641341877,Raw
Cluster,1.285653609072864,Raw
Batch,1.6375357960806647,Raw
Cluster,1.0077737888058544,Raw
Batch,1.2774306029068532,Raw
Cluster,1.0127926575914055,Raw
Batch,1.2227325618771785,Raw
Cluster,1.008820920456252,Raw
Batch,1.9948137531464327,Raw
Cluster,1.0393387711453201,Raw
Batch,1.9609670656274116,Raw
Cluster,1.0023974270628493,Raw
Batch,1.9100528886687573,Raw
Cluster,1,Raw
Batch,1.6015001234257018,Raw
Cluster,1,Raw
Batch,1.9050952409029596,Raw
Cluster,1,Raw
Batch,1.6971202573192459,Raw
Cluster,1,Raw
Batch,1.2097333910272303,Raw
Cluster,1.0114881267472426,Raw
Batch,1.9794279943226532,Raw
Cluster,1,Raw
Batch,1.5221510551822837,Raw
Cluster,1,Raw
Batch,1.3389806411342269,Raw
Cluster,1,Raw
Batch,1.2167636360160945,Raw
Cluster,1,Raw
Batch,1.9205469086713116,Raw
Cluster,1,Raw
Batch,1.5306816252519346,Raw
Cluster,1,Raw
Batch,1.5009749596804651,Raw
Cluster,1,Raw
Batch,1.8668076536904417,Raw
Cluster,1.0128071766202507,Raw
Batch,1.3724048993363154,Raw
Cluster,1.0592441573596947,Raw
Batch,1.1852831417815273,Raw
Cluster,1.0043154552634685,Raw
Batch,1.8581340607027315,Raw
Cluster,1.033730365405935,Raw
Batch,1.2192551213005534,Raw
Cluster,1.0056125617750693,Raw
Batch,1.6110566787784042,Raw
Cluster,1.0467391424911563,Raw
Batch,1.1769263244002355,Raw
Cluster,1.007815156216593,Raw
Batch,1.5340445677664545,Raw
Cluster,1,Raw
Batch,1.9866679329138455,Raw
Cluster,1.0034358728281474,Raw
Batch,1.6375022122270513,Raw
Cluster,1.0038608816561667,Raw
Batch,1.5463096710000552,Raw
Cluster,1.2698365879880216,Raw
Batch,1.7519249277932218,Raw
Cluster,1.0140191173676054,Raw
Batch,1.84221652128621,Raw
Cluster,1.0062430734735437,Raw
Batch,1.9052644788072293,Raw
Cluster,1.0049449302803748,Raw
Batch,1.5665971006176158,Raw
Cluster,1.0447330983176901,Raw
Batch,1.605960941655619,Raw
Cluster,1.0286103873539238,Raw
Batch,1.6707855426678073,Raw
Cluster,1,Raw
Batch,1.2789849745487794,Raw
Cluster,1.0046693125509876,Raw
Batch,1.986396020486717,Raw
Cluster,1.0097537347346641,Raw
Batch,1.1490578073195308,Raw
Cluster,1,Raw
Batch,1.6651072057139924,Raw
Cluster,1.0027183132077626,Raw
Batch,1.861347742866169,Raw
Cluster,1,Raw
Batch,1.86460245299815,Raw
Cluster,1.5373085102485018,Raw
Batch,1.5682830635496885,Raw
Cluster,1,Raw
Batch,1.5358856071527982,Raw
Cluster,1,Raw
Batch,1.3046159865466755,Raw
Cluster,1.0075769392538536,Raw
Batch,1.6679365252792102,Raw
Cluster,1.0982512716645383,Raw
Batch,1.9870036922001901,Raw
Cluster,1.0030042664741718,Raw
Batch,1.6143409595857057,Raw
Cluster,1.003681475951807,Raw
Batch,1.8236933682296665,Raw
Cluster,1.0035520311975648,Raw
Batch,1.7581327460111704,Raw
Cluster,1,Raw
Batch,1.409136475563663,Raw
Cluster,1,Raw
Batch,1.6197998845894166,Raw
Cluster,1,Raw
Batch,1.7173303211943158,Raw
Cluster,1.0126818624604585,Raw
Batch,1.9540586654389074,Raw
Cluster,1,Raw
Batch,1.8964256025237722,Raw
Cluster,1.0042233762410246,Raw
Batch,1.6614559257190118,Raw
Cluster,1,Raw
Batch,1.9919973247239757,Raw
Cluster,1,Raw
Batch,1.6512193234561139,Raw
Cluster,1.0028678892853926,Raw
Batch,1.3694770308555837,Raw
Cluster,1.033789354705833,Raw
Batch,1.2143631261722978,Raw
Cluster,1.0103976332414772,Raw
Batch,1.6846746101092755,Raw
Cluster,1,Raw
Batch,1.7718147760316003,Raw
Cluster,1,Raw
Batch,1.8695504717804534,Raw
Cluster,1.001072851926322,Raw
Batch,1.2068505510813246,Raw
Cluster,1.0109683480039409,Raw
Batch,1.6370650485916014,Raw
Cluster,1,Raw
Batch,1.5543719016083535,Raw
Cluster,1,Raw
Batch,1.99163138591163,Raw
Cluster,1,Raw
Batch,1.6890264440052019,Raw
Cluster,1.0037851091060777,Raw
Batch,1.670227310933682,Raw
Cluster,1,Raw
Batch,1.9395448295905737,Raw
Cluster,1,Raw
Batch,1.315918285238465,Raw
Cluster,1.0185902196566674,Raw
Batch,1.81225510529695,Raw
Cluster,1.0063531801394932,Raw
