Method,Label,Mean
JIVE,Batch,0.017072049331221854
JIVE,Batch,0.017924561179874652
JIVE,Batch,0.01834718019021489
JIVE,Batch,0.0188996503367116
JIVE,Batch,0.019211840759000225
JIVE,Batch,0.018107363653481368
JIVE,Batch,0.01743379066170274
JIVE,Batch,0.018390919933184192
JIVE,Batch,0.01779200289144059
JIVE,Batch,0.01843241151199117
JIVE,Batch,0.017558359617616412
JIVE,Batch,0.01800831125997611
JIVE,Batch,0.01823741461006438
JIVE,Batch,0.01863377132814282
JIVE,Batch,0.018109443048730856
JIVE,Batch,0.02009693822748537
JIVE,Batch,0.019244874282306222
JIVE,Batch,0.019205315383016435
JIVE,Batch,0.018563803429010657
JIVE,Batch,0.017726449802143423
JIVE,Cluster,-0.03236819555591769
JIVE,Cluster,-0.05943465329518028
JIVE,Cluster,-0.04553419739016736
JIVE,Cluster,-0.05791524457835906
JIVE,Cluster,-0.03481220678737385
JIVE,Cluster,-0.019367456000819332
JIVE,Cluster,-0.06073480129437451
JIVE,Cluster,-0.04088667110803694
JIVE,Cluster,-0.037954170652847855
JIVE,Cluster,-0.031139473003060466
JIVE,Cluster,-0.06296408178241969
JIVE,Cluster,-0.01289584092523351
JIVE,Cluster,-0.013137915119598506
JIVE,Cluster,-0.0212946381463428
JIVE,Cluster,-0.03341019146085996
JIVE,Cluster,-0.0411239670863358
JIVE,Cluster,-0.0204806139913426
JIVE,Cluster,-0.028559021545101825
JIVE,Cluster,-0.028705025500089368
JIVE,Cluster,-0.03261184002702665
