Method,Label,Mean
Raw,Batch,0.021545407052067592
Raw,Batch,0.02101931009625543
Raw,Batch,0.020717346294008024
Raw,Batch,0.02073203713710409
Raw,Batch,0.02121408862719853
Raw,Batch,0.021220462716424936
Raw,Batch,0.020490906926093486
Raw,Batch,0.021148474354537147
Raw,Batch,0.021222418233632648
Raw,Batch,0.021621750376338778
Raw,Batch,0.02130228686396578
Raw,Batch,0.02097197799580415
Raw,Batch,0.020807404175986238
Raw,Batch,0.02105781868767047
Raw,Batch,0.021000489551489712
Raw,Batch,0.02094965944602803
Raw,Batch,0.021449714612418323
Raw,Batch,0.02025721132118206
Raw,Batch,0.02108457271879573
Raw,Batch,0.020836526955553953
Raw,Cluster,0.03316263183427663
Raw,Cluster,0.03356734569654754
Raw,Cluster,0.0339456325029362
Raw,Cluster,0.03420661419781781
Raw,Cluster,0.03378735705213648
Raw,Cluster,0.03387345494331739
Raw,Cluster,0.032906637220702424
Raw,Cluster,0.032989990444719716
Raw,Cluster,0.03437263405019814
Raw,Cluster,0.032863570523596966
Raw,Cluster,0.03343287596641334
Raw,Cluster,0.033198604529358314
Raw,Cluster,0.03362307965071798
Raw,Cluster,0.03327402566129022
Raw,Cluster,0.03329258419399647
Raw,Cluster,0.03424665951652321
Raw,Cluster,0.032729656814358056
Raw,Cluster,0.03323723248776266
Raw,Cluster,0.03330143689008818
Raw,Cluster,0.03271914709208036
