Label,LISI,Method
Cluster,2.3996417689367338,JIVE
Batch,1.083709447822066,JIVE
Cluster,2.4558725354137945,JIVE
Batch,1.7080808366311886,JIVE
Cluster,1.8993739623748909,JIVE
Batch,1.660608756911108,JIVE
Cluster,2.5139105808180027,JIVE
Batch,1.0519085704563857,JIVE
Cluster,2.4237767884935204,JIVE
Batch,1.3869169855502106,JIVE
Cluster,1.9512566024310911,JIVE
Batch,1.416757715456718,JIVE
Cluster,2.4563649251045665,JIVE
Batch,1.8830228238519475,JIVE
Cluster,2.4977292813638305,JIVE
Batch,1.023452271647368,JIVE
Cluster,1.1253024127083262,JIVE
Batch,1.1950923909394537,JIVE
Cluster,1.772690467806587,JIVE
Batch,1.2708469654776844,JIVE
Cluster,1.652501426062076,JIVE
Batch,1.7591390636600372,JIVE
Cluster,2.4103335837651634,JIVE
Batch,1.4651827970108957,JIVE
Cluster,1.1395674786924668,JIVE
Batch,1.0437214219509636,JIVE
Cluster,1.3780720341588177,JIVE
Batch,1.0760125763804387,JIVE
Cluster,2.5542280064430085,JIVE
Batch,1.6116844610394263,JIVE
Cluster,2.74400390861704,JIVE
Batch,1.2013103168154262,JIVE
Cluster,1.9774907373326416,JIVE
Batch,1.3925970499746507,JIVE
Cluster,2.1590861829961177,JIVE
Batch,1.0207922343081053,JIVE
Cluster,1.435981195911159,JIVE
Batch,1.1516562741208636,JIVE
Cluster,3.7616012283152878,JIVE
Batch,1.2518086998460671,JIVE
Cluster,3.4326096235536854,JIVE
Batch,1.1628325641714483,JIVE
Cluster,2.084165847548475,JIVE
Batch,1.123379922603985,JIVE
Cluster,1.3653968136524988,JIVE
Batch,1.2511695905867164,JIVE
Cluster,2.075345711198398,JIVE
Batch,1.7446479302103017,JIVE
Cluster,1.7436373127260594,JIVE
Batch,1.021864559238442,JIVE
Cluster,1.1429527214238304,JIVE
Batch,1.1327153867858104,JIVE
Cluster,1.2338395484314049,JIVE
Batch,1.3686308650976164,JIVE
Cluster,1.4533731651910442,JIVE
Batch,1.083350188994919,JIVE
Cluster,2.961434651227387,JIVE
Batch,1.0021882129351076,JIVE
Cluster,1.128097972515976,JIVE
Batch,1.055485579090077,JIVE
Cluster,2.0807200952558906,JIVE
Batch,1.0022106980601089,JIVE
Cluster,1.0684882876489856,JIVE
Batch,1.0028043795424828,JIVE
Cluster,1.1332155335942378,JIVE
Batch,1.2342316257708295,JIVE
Cluster,1.7912738258312633,JIVE
Batch,1,JIVE
Cluster,1.0318779062502625,JIVE
Batch,1.532189081200849,JIVE
Cluster,1.1283008362856968,JIVE
Batch,1.0328127223949164,JIVE
Cluster,1.080686408914469,JIVE
Batch,1,JIVE
Cluster,1.04236519804247,JIVE
Batch,1.2543936416661405,JIVE
Cluster,1.1358528847687999,JIVE
Batch,1.1082371187073903,JIVE
Cluster,1.4761313593343293,JIVE
Batch,1.6999803996110827,JIVE
Cluster,2.9187136302391328,JIVE
Batch,1.244779181308405,JIVE
Cluster,2.025228697169769,JIVE
Batch,1.0592438981487742,JIVE
Cluster,2.75703422797442,JIVE
Batch,1.9113873677343691,JIVE
Cluster,2.9424611200515405,JIVE
Batch,1.0301127760168038,JIVE
Cluster,1.0789638790572833,JIVE
Batch,1.411710680154934,JIVE
Cluster,1.0260931728183027,JIVE
Batch,1.84828727987768,JIVE
Cluster,2.867828975451565,JIVE
Batch,1.999782407117832,JIVE
Cluster,1.4454204729995872,JIVE
Batch,1.0748369759321958,JIVE
Cluster,1.9804019007464664,JIVE
Batch,1.0028433465438382,JIVE
Cluster,1.274387937804223,JIVE
Batch,1.9781129926936212,JIVE
Cluster,1.2158003432269002,JIVE
Batch,1.9255082806721862,JIVE
Cluster,1.2059527795137863,JIVE
Batch,1.76172068447223,JIVE
Cluster,2.8876597887274786,JIVE
Batch,1.2357792834643841,JIVE
Cluster,3.0579656648718907,JIVE
Batch,1.1066141862714662,JIVE
Cluster,2.8647755767971455,JIVE
Batch,1.0143555622859852,JIVE
Cluster,1.531747656041183,JIVE
Batch,1.0099054869423307,JIVE
Cluster,1.0803497412241974,JIVE
Batch,1.6112946487857234,JIVE
Cluster,1.4651997886103154,JIVE
Batch,1.402968736070652,JIVE
Cluster,2.1271166614095844,JIVE
Batch,1.182093751249843,JIVE
Cluster,2.025157841703651,JIVE
Batch,1.3041308787351904,JIVE
Cluster,1.761809560117827,JIVE
Batch,1.0620431185572667,JIVE
Cluster,1.9581540113466431,JIVE
Batch,1.7204621376428388,JIVE
Cluster,1.013008409214273,JIVE
Batch,1.055368345064769,JIVE
Cluster,1.1822449891680065,JIVE
Batch,1.076916273522391,JIVE
Cluster,2.3482803538633523,JIVE
Batch,1.1176185838158852,JIVE
Cluster,1.2927029688771614,JIVE
Batch,1.999806542037861,JIVE
Cluster,1.3309819590055316,JIVE
Batch,1.3110045161461163,JIVE
Cluster,2.977399493917484,JIVE
Batch,1.0227473895430965,JIVE
Cluster,1.933033066761061,JIVE
Batch,1.1593201933666657,JIVE
Cluster,2.79600088982103,JIVE
Batch,1.081256460302434,JIVE
Cluster,2.76530603435955,JIVE
Batch,1.9917201684030728,JIVE
Cluster,2.3446341266867154,JIVE
Batch,1.115662179691959,JIVE
Cluster,1.1775829767927193,JIVE
Batch,1.99834644529064,JIVE
Cluster,2.5419803504168432,JIVE
Batch,1.9298280666913399,JIVE
Cluster,1.1226656817447012,JIVE
Batch,1.072221013859743,JIVE
Cluster,2.541286288824306,JIVE
Batch,1.433235182860925,JIVE
Cluster,2.146269490471623,JIVE
Batch,1.5956908626771589,JIVE
Cluster,3.2750542255886517,JIVE
Batch,1.5191291930612334,JIVE
Cluster,1.7902672397023827,JIVE
Batch,1.020125313401533,JIVE
Cluster,2.6814019849584367,JIVE
Batch,1.0223626283401643,JIVE
Cluster,1.1270722063245644,JIVE
Batch,1.0023158387616882,JIVE
Cluster,1.1901270209311678,JIVE
Batch,1.0371021444605066,JIVE
Cluster,2.883483644068759,JIVE
Batch,1.2033041806586326,JIVE
Cluster,2.655302554197067,JIVE
Batch,1.6140734968096857,JIVE
Cluster,1.3915074350933183,JIVE
Batch,1.2096915077050354,JIVE
Cluster,2.8076292041206323,JIVE
Batch,1.0216735669078054,JIVE
Cluster,1.4312598301977393,JIVE
Batch,1.0076817776733047,JIVE
Cluster,1.0834708164030287,JIVE
Batch,1.9880380354166485,JIVE
Cluster,1.48351623349785,JIVE
Batch,1.2953682855806339,JIVE
Cluster,1.3947984247833973,JIVE
Batch,1.1019606377920155,JIVE
Cluster,2.248030163487132,JIVE
Batch,1.0375203066531944,JIVE
Cluster,2.096930588387505,JIVE
Batch,1.134306294259044,JIVE
Cluster,1.839485556882352,JIVE
Batch,1.1206569578548955,JIVE
Cluster,2.445290132030833,JIVE
Batch,1.1613885245745637,JIVE
Cluster,1.398076413909388,JIVE
Batch,1.4212403325205925,JIVE
Cluster,2.699835754606537,JIVE
Batch,1.983891920255714,JIVE
Cluster,4.303267869393273,JIVE
Batch,1.4073160134627751,JIVE
Cluster,3.5262067120879976,JIVE
Batch,1.1180769508552444,JIVE
Cluster,2.6892337725854136,JIVE
