Label,LISI,Method
Batch,1.5292543086432668,Seurat
Cluster,2.6488425367395054,Seurat
Batch,1.9471656625000213,Seurat
Cluster,1.2215619789909387,Seurat
Batch,1.6568997140953987,Seurat
Cluster,1.5606923064453935,Seurat
Batch,1.5200609452602711,Seurat
Cluster,2.487773797818632,Seurat
Batch,1.5554850425940028,Seurat
Cluster,1.7760568746851277,Seurat
Batch,1.881780092594345,Seurat
Cluster,1.230892211318192,Seurat
Batch,1.50540354187565,Seurat
Cluster,1.3499674906106192,Seurat
Batch,1.4086928546912396,Seurat
Cluster,2.4674038456750313,Seurat
Batch,1.7026811821658545,Seurat
Cluster,2.432568541307991,Seurat
Batch,1.524153417211907,Seurat
Cluster,2.5857762227810595,Seurat
Batch,1.5259775355068366,Seurat
Cluster,2.283528280599577,Seurat
Batch,1.981358850179484,Seurat
Cluster,2.098398346704411,Seurat
Batch,1.7288871730540374,Seurat
Cluster,2.88230750667217,Seurat
Batch,1.5334897750936136,Seurat
Cluster,1.38124247356009,Seurat
Batch,1.4016010728121004,Seurat
Cluster,1.4679579559001443,Seurat
Batch,1.5326062153509532,Seurat
Cluster,3.1707124754769516,Seurat
Batch,1.8531977951129373,Seurat
Cluster,1.7944918557630862,Seurat
Batch,1.359497960365289,Seurat
Cluster,2.3983234967648928,Seurat
Batch,1.4142289945454007,Seurat
Cluster,1.967672194169287,Seurat
Batch,1.4169663510085442,Seurat
Cluster,2.0186441438607057,Seurat
Batch,1.601685695926554,Seurat
Cluster,1.6935811518420787,Seurat
Batch,1.5664576867576514,Seurat
Cluster,2.692873735560199,Seurat
Batch,1.6444598707568907,Seurat
Cluster,1.6059300642962282,Seurat
Batch,1.963779233181999,Seurat
Cluster,1.2527017777214953,Seurat
Batch,1.8419524015907371,Seurat
Cluster,1.199124117241286,Seurat
Batch,1.4426332425536716,Seurat
Cluster,2.562025746083136,Seurat
Batch,1.3721287723247595,Seurat
Cluster,2.151613458300997,Seurat
Batch,1.3984687008638828,Seurat
Cluster,1.9638295936031336,Seurat
Batch,1.423780376663539,Seurat
Cluster,1.958615848640291,Seurat
Batch,1.4381953276976882,Seurat
Cluster,2.339671687043137,Seurat
Batch,1.478868235441285,Seurat
Cluster,2.463854763689444,Seurat
Batch,1.4589822777394679,Seurat
Cluster,3.714845814450726,Seurat
Batch,1.467234993178395,Seurat
Cluster,2.1230263909414977,Seurat
Batch,1.6129673715765054,Seurat
Cluster,1.2985425557724737,Seurat
Batch,1.727953221755858,Seurat
Cluster,1.4471025410555054,Seurat
Batch,1.7857219995693812,Seurat
Cluster,2.02725362526241,Seurat
Batch,1.898570002629356,Seurat
Cluster,1.1250668019762462,Seurat
Batch,1.7576978864824602,Seurat
Cluster,1.3320827181877468,Seurat
Batch,1.9864570531726515,Seurat
Cluster,1.138511837012404,Seurat
