Method,Label,Mean
Harmony,Batch,0.006334292955756647
Harmony,Batch,0.006675497881763189
Harmony,Batch,0.0053727572079590325
Harmony,Batch,0.0057606020302115556
Harmony,Batch,0.007986652078730987
Harmony,Batch,0.006975858730575308
Harmony,Batch,0.0052506517155355035
Harmony,Batch,0.00671105081172413
Harmony,Batch,0.006504999749937173
Harmony,Batch,0.007593016770831998
Harmony,Batch,0.007968159024690127
Harmony,Batch,0.0073077088479865104
Harmony,Batch,0.00604959505164073
Harmony,Batch,0.005952583579071836
Harmony,Batch,0.005257772642966509
Harmony,Batch,0.00497761001440309
Harmony,Batch,0.006605937166732208
Harmony,Batch,0.0045765149322524465
Harmony,Batch,0.0061700789598900145
Harmony,Batch,0.00656331770323714
Harmony,Cluster,0.23988364655207772
Harmony,Cluster,0.24036969734666325
Harmony,Cluster,0.2409484848414421
Harmony,Cluster,0.2418842378503125
Harmony,Cluster,0.24168301847780999
Harmony,Cluster,0.24240068298160258
Harmony,Cluster,0.2419365270071846
Harmony,Cluster,0.2425313574552323
Harmony,Cluster,0.2421040007387181
Harmony,Cluster,0.24108028133992696
Harmony,Cluster,0.2415777481084605
Harmony,Cluster,0.23937413220984652
Harmony,Cluster,0.23908149651109703
Harmony,Cluster,0.24168821733544124
Harmony,Cluster,0.24086385241782185
Harmony,Cluster,0.24112947066982982
Harmony,Cluster,0.24071656351569878
Harmony,Cluster,0.2382557277349039
Harmony,Cluster,0.2406060645099796
Harmony,Cluster,0.2388857565269533
