Method,Label,Mean
Seurat,Batch,0.01565712898824228
Seurat,Batch,0.014287386309953869
Seurat,Batch,0.01718161596913762
Seurat,Batch,0.014498264878879714
Seurat,Batch,0.014269300463038953
Seurat,Batch,0.014444166087767298
Seurat,Batch,0.017278321213128195
Seurat,Batch,0.017442391978382023
Seurat,Batch,0.016577197774580735
Seurat,Batch,0.014858073406952124
Seurat,Batch,0.01591600700226096
Seurat,Batch,0.01476060093365295
Seurat,Batch,0.017458573763468703
Seurat,Batch,0.016975379659616225
Seurat,Batch,0.016466423677758076
Seurat,Batch,0.015932751388734796
Seurat,Batch,0.016541575961228194
Seurat,Batch,0.016326239991123946
Seurat,Batch,0.016886081392296623
Seurat,Batch,0.017299825632791817
Seurat,Cluster,0.1644169946999311
Seurat,Cluster,0.15983554211401085
Seurat,Cluster,0.1636074814663388
Seurat,Cluster,0.16103153378802987
Seurat,Cluster,0.15926971178211957
Seurat,Cluster,0.16044921607327695
Seurat,Cluster,0.15981914043832254
Seurat,Cluster,0.15964509262683607
Seurat,Cluster,0.15719745127013568
Seurat,Cluster,0.15680872868503723
Seurat,Cluster,0.15962153788466493
Seurat,Cluster,0.16008822860022667
Seurat,Cluster,0.15333062463486918
Seurat,Cluster,0.16176371846713483
Seurat,Cluster,0.1581344246243297
Seurat,Cluster,0.16349983168077975
Seurat,Cluster,0.16204857600526673
Seurat,Cluster,0.15999352398574504
Seurat,Cluster,0.1575695047084247
Seurat,Cluster,0.15890125071633063
