Label,LISI,Method
Batch,1.0112368543830874,Seurat
Cluster,1.0867788899056405,Seurat
Batch,1.0104193048017391,Seurat
Cluster,1.0256333315123907,Seurat
Batch,1.0237647959191107,Seurat
Cluster,1.1016664690152496,Seurat
Batch,1.023029563141265,Seurat
Cluster,2.0677919410698546,Seurat
Batch,1.017561836752576,Seurat
Cluster,1.054875234356366,Seurat
Batch,1.0106495023778308,Seurat
Cluster,1.5719515510980515,Seurat
Batch,1.0283337592055943,Seurat
Cluster,1.89340173096749,Seurat
Batch,1.0437409889015088,Seurat
Cluster,1.791842196729301,Seurat
Batch,1.025192143790692,Seurat
Cluster,1.953849893742654,Seurat
Batch,1.0094949438248126,Seurat
Cluster,1.1507301674921702,Seurat
Batch,1.0123670673095306,Seurat
Cluster,1.0472756736251083,Seurat
Batch,1.0173176712639136,Seurat
Cluster,1.064221273499289,Seurat
Batch,1.0191926714637705,Seurat
Cluster,1.8104652765569693,Seurat
Batch,1.0065903623372086,Seurat
Cluster,1.0653289406811737,Seurat
Batch,1.0228768408627777,Seurat
Cluster,1.5279161720503602,Seurat
Batch,1.0168872299578666,Seurat
Cluster,1.086034705824216,Seurat
Batch,1.024890164751029,Seurat
Cluster,1.8366233784619672,Seurat
Batch,1.0297552889464148,Seurat
Cluster,2.063388619010939,Seurat
Batch,1.0101957813822506,Seurat
Cluster,1.0760795474980545,Seurat
Batch,1.0170506078641852,Seurat
Cluster,1.6102274944113444,Seurat
Batch,1.048220497400238,Seurat
Cluster,1.3147447237677221,Seurat
Batch,1.0136372194865289,Seurat
Cluster,1.086155534132667,Seurat
Batch,1.0283556946402206,Seurat
Cluster,1.6992023096963744,Seurat
Batch,1.0114925526255243,Seurat
Cluster,1.1009104598252402,Seurat
Batch,1.0126719612527162,Seurat
Cluster,1.066538858431017,Seurat
Batch,1.004485609746704,Seurat
Cluster,1.0865020335762687,Seurat
Batch,1.0137270012679584,Seurat
Cluster,1.1099999735030313,Seurat
Batch,1.0096733049743392,Seurat
Cluster,1.0479696340630262,Seurat
Batch,1.0170536644405324,Seurat
Cluster,1.5996763021578948,Seurat
Batch,1.0087941061439085,Seurat
Cluster,1.062875134963713,Seurat
Batch,1.027329418741955,Seurat
Cluster,1.0498501588358116,Seurat
Batch,1.008708417527066,Seurat
Cluster,1.0353679765909243,Seurat
Batch,1.0150354115241558,Seurat
Cluster,1.0937273209111182,Seurat
Batch,1.0050103242364654,Seurat
Cluster,1.0444860597161545,Seurat
Batch,1.021972295905614,Seurat
Cluster,1.3485154148298257,Seurat
Batch,1.012782269585759,Seurat
Cluster,1.300847374294338,Seurat
Batch,1.0192925073139298,Seurat
Cluster,1.400280327732142,Seurat
Batch,1.0135585781016407,Seurat
Cluster,1.062101885933903,Seurat
Batch,1.0202582037480397,Seurat
Cluster,1.5800420664120503,Seurat
Batch,1.0062699063091272,Seurat
Cluster,1.1140358102963537,Seurat
Batch,1.0128404684618597,Seurat
Cluster,1.3727067974251732,Seurat
