Method,Label,Mean
Raw,Batch,0.05568598373480823
Raw,Batch,0.0570264614938859
Raw,Batch,0.056521235975449606
Raw,Batch,0.056111882471710235
Raw,Batch,0.057287993432459196
Raw,Batch,0.057242410487515855
Raw,Batch,0.05782816679052985
Raw,Batch,0.05855728683616414
Raw,Batch,0.05736544157894419
Raw,Batch,0.0561415761275301
Raw,Batch,0.05841999585162477
Raw,Batch,0.057049350855794476
Raw,Batch,0.055611739068767325
Raw,Batch,0.057027786677686446
Raw,Batch,0.05804017668585915
Raw,Batch,0.05864897770394767
Raw,Batch,0.05697247480840637
Raw,Batch,0.055723334399429975
Raw,Batch,0.057663573470600846
Raw,Batch,0.05519500452048656
Raw,Cluster,-0.004707706899420143
Raw,Cluster,-0.02351624238781751
Raw,Cluster,-0.006032560842792017
Raw,Cluster,-0.016517853578331222
Raw,Cluster,-0.002312101417423835
Raw,Cluster,-0.005207257634279148
Raw,Cluster,-0.008671579957827554
Raw,Cluster,-0.0044901901259246195
Raw,Cluster,-0.0038494525008153898
Raw,Cluster,-0.00621736299669026
Raw,Cluster,-0.020496784573603266
Raw,Cluster,-0.00635856827079271
Raw,Cluster,-0.006299027139136339
Raw,Cluster,-0.00600268947249733
Raw,Cluster,-0.0011209629387983373
Raw,Cluster,-0.00443561883343423
Raw,Cluster,-0.004624165663687107
Raw,Cluster,-0.005816079540994599
Raw,Cluster,-0.004576342817414686
Raw,Cluster,-0.0019353716265986158
