Label,LISI,Method
Batch,1.9326954418430837,Harmony
Cluster,1.0674710058730295,Harmony
Batch,1.7014341474258445,Harmony
Cluster,1,Harmony
Batch,1.9736011163166256,Harmony
Cluster,1.010722362203699,Harmony
Batch,1.7795355699476778,Harmony
Cluster,1.0376219276219978,Harmony
Batch,1.7231632014028138,Harmony
Cluster,1,Harmony
Batch,1.9913597677390102,Harmony
Cluster,1.0828301181555884,Harmony
Batch,1.9851928317203626,Harmony
Cluster,1.0006420125542168,Harmony
Batch,1.7255610324953892,Harmony
Cluster,1.0229190105663144,Harmony
Batch,1.999065121117813,Harmony
Cluster,1.007113770506165,Harmony
Batch,1.9984645124198588,Harmony
Cluster,1.0125332510218787,Harmony
Batch,1.949683032418249,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.8448098567019482,Harmony
Cluster,1,Harmony
Batch,1.9961387698948743,Harmony
Cluster,1.0053965739130084,Harmony
Batch,1.961267367819199,Harmony
Cluster,1,Harmony
Batch,1.749660076955321,Harmony
Cluster,1.0033449719487542,Harmony
Batch,1.9902707890654197,Harmony
Cluster,1.007748826024859,Harmony
Batch,1.7024152178557588,Harmony
Cluster,1.0539132765153731,Harmony
Batch,1.9957598530006242,Harmony
Cluster,1.0193665324407357,Harmony
Batch,1.9999206693646037,Harmony
Cluster,1,Harmony
Batch,1.6923636339977122,Harmony
Cluster,1.0058268752182695,Harmony
Batch,1.9902390925281406,Harmony
Cluster,1.0162385042098256,Harmony
Batch,1.9949625970137956,Harmony
Cluster,1,Harmony
Batch,1.844166020400707,Harmony
Cluster,1.0659466648993938,Harmony
Batch,1.9912334397102998,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.6654802163175524,Harmony
Cluster,1,Harmony
Batch,1.9306132581320226,Harmony
Cluster,1.055460267812849,Harmony
Batch,1.9834984089478425,Harmony
Cluster,1.004213479242425,Harmony
Batch,1.8838454723136837,Harmony
Cluster,1,Harmony
Batch,1.8240717811984648,Harmony
Cluster,1.0247988486228428,Harmony
Batch,1.838456067443304,Harmony
Cluster,1,Harmony
Batch,1.9517670101584634,Harmony
Cluster,1,Harmony
Batch,1.879586618382702,Harmony
Cluster,1,Harmony
Batch,1.663849401204282,Harmony
Cluster,1.009671370105678,Harmony
Batch,1.8347595155086622,Harmony
Cluster,1,Harmony
Batch,1.8060298385346738,Harmony
Cluster,1.0426092697120268,Harmony
Batch,1.868964983870679,Harmony
Cluster,1.0008370762785181,Harmony
Batch,1.9998421197600589,Harmony
Cluster,1.0192906073356982,Harmony
Batch,1.986106724841549,Harmony
Cluster,1,Harmony
Batch,1.752181380030554,Harmony
Cluster,1.0614857733246714,Harmony
Batch,1.867269998094857,Harmony
Cluster,1.0050842534301097,Harmony
Batch,1.9179514982409906,Harmony
Cluster,1.0186591466189092,Harmony
Batch,1.5607143569371829,Harmony
Cluster,1.0098820178624772,Harmony
Batch,1.7300198625676901,Harmony
Cluster,1,Harmony
Batch,1.9998031452361131,Harmony
Cluster,1,Harmony
Batch,1.9998625015380667,Harmony
Cluster,1,Harmony
Batch,1.9537821244804165,Harmony
Cluster,1.0112178235115379,Harmony
Batch,1.9983910163730878,Harmony
Cluster,1,Harmony
Batch,1.9681212915821784,Harmony
Cluster,1,Harmony
Batch,1.9995854164438784,Harmony
Cluster,1.0192603120534427,Harmony
Batch,1.999736999291841,Harmony
Cluster,1.0032895036942373,Harmony
Batch,1.981061428822012,Harmony
Cluster,1,Harmony
Batch,1.9961562855908777,Harmony
Cluster,1.0136635560753016,Harmony
Batch,1.9781883867970567,Harmony
Cluster,1.0054164630167344,Harmony
Batch,1.7255853471127938,Harmony
Cluster,1,Harmony
Batch,1.7049232887762258,Harmony
Cluster,1.004615054443811,Harmony
Batch,1.9911020472056127,Harmony
Cluster,1,Harmony
Batch,1.68803509351303,Harmony
Cluster,1,Harmony
Batch,1.9993341398533326,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.9498604552104881,Harmony
Cluster,1.1801498642040809,Harmony
Batch,1.883917659473831,Harmony
Cluster,1.002237191022811,Harmony
Batch,1.9826676285815403,Harmony
Cluster,1.0209382858378637,Harmony
Batch,1.7934189576438369,Harmony
Cluster,1.0005731064305734,Harmony
Batch,1.986413071630303,Harmony
Cluster,1.00554831096549,Harmony
Batch,1.995446463355448,Harmony
Cluster,1.0058652966672823,Harmony
Batch,1.8588364461869096,Harmony
Cluster,1.0337987470988106,Harmony
Batch,1.7793577589650353,Harmony
Cluster,1.002973791728905,Harmony
Batch,1.9148548283777673,Harmony
Cluster,1,Harmony
Batch,1.997279950919236,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.955281024907427,Harmony
Cluster,1.0071923290696827,Harmony
Batch,1.7999966794313653,Harmony
Cluster,1.0100298669740808,Harmony
Batch,1.8367131621692592,Harmony
Cluster,1.004660789431165,Harmony
Batch,1.8422967303689541,Harmony
Cluster,1.2505962262179817,Harmony
Batch,1.663090437147413,Harmony
Cluster,1.0000001192093038,Harmony
Batch,1.958706636321912,Harmony
Cluster,1.0060355438170054,Harmony
Batch,1.9175686406756995,Harmony
Cluster,1.0073757474486038,Harmony
Batch,1.877382810765757,Harmony
Cluster,1,Harmony
Batch,1.8439813679715704,Harmony
Cluster,1.0185840308088727,Harmony
Batch,1.849880140292257,Harmony
Cluster,1,Harmony
Batch,1.738420530267648,Harmony
Cluster,1.0033436542773297,Harmony
