Label,LISI,Method
Batch,1.0231755356979872,Raw
Cluster,2.57415759795475,Raw
Batch,1.0466476965680251,Raw
Cluster,2.025052218725792,Raw
Batch,1.0061817696983644,Raw
Cluster,3.0135399258826068,Raw
Batch,1.5573235805308445,Raw
Cluster,1.4174743102390726,Raw
Batch,1.071512667262742,Raw
Cluster,2.242999993168851,Raw
Batch,1.208646389483752,Raw
Cluster,1.2252327446077882,Raw
Batch,1.9993453381291024,Raw
Cluster,1.0153604791446624,Raw
Batch,1.0554776373019312,Raw
Cluster,1.0556247818455744,Raw
Batch,1.011795356418077,Raw
Cluster,2.8311261933979903,Raw
Batch,1.4568920098779863,Raw
Cluster,4.432592289035017,Raw
Batch,1.0965077923637503,Raw
Cluster,2.0273283028473137,Raw
Batch,1.0108201121570124,Raw
Cluster,2.2858722142660532,Raw
Batch,1.0274513518866981,Raw
Cluster,2.8837735941521787,Raw
Batch,1.9692924852921205,Raw
Cluster,1.190964144931507,Raw
Batch,1.9971731382302311,Raw
Cluster,1.1742748367165359,Raw
Batch,1.3336197753068,Raw
Cluster,1.8807634051589617,Raw
Batch,1.1486726456701872,Raw
Cluster,2.5891072001953446,Raw
Batch,1.3294291578028714,Raw
Cluster,1.0619865123017806,Raw
Batch,1.9990592257906656,Raw
Cluster,2.1212239548003584,Raw
Batch,1.349462440701184,Raw
Cluster,1.1854438700722025,Raw
Batch,1.845045450856351,Raw
Cluster,3.4055334015683467,Raw
Batch,1.0095492330134876,Raw
Cluster,2.445935695921305,Raw
Batch,1.1066709791760063,Raw
Cluster,2.863735407477244,Raw
Batch,1.1633934496668645,Raw
Cluster,2.699414544288467,Raw
Batch,1.192277824170153,Raw
Cluster,1.4927544631298937,Raw
Batch,1.0139873503535843,Raw
Cluster,2.5232781393922807,Raw
Batch,1.2297826307745174,Raw
Cluster,1.2949426306837912,Raw
Batch,1.0349655435206284,Raw
Cluster,1.0276147070211412,Raw
Batch,1.0667279801907428,Raw
Cluster,1.1616801754441086,Raw
Batch,1.7696417240220088,Raw
Cluster,1.073889834017082,Raw
Batch,1.1370666370096956,Raw
Cluster,1.8997383495086282,Raw
Batch,1.7123283335314838,Raw
Cluster,2.909185183049132,Raw
Batch,1.4712341532522386,Raw
Cluster,1.1212941935963956,Raw
Batch,1.9017789770092255,Raw
Cluster,1.4625994793844492,Raw
Batch,1.747064353076254,Raw
Cluster,1.2864522178862878,Raw
Batch,1.0707121823141914,Raw
Cluster,2.6134391245644646,Raw
Batch,1.8541915454010118,Raw
Cluster,1.2229443532203783,Raw
Batch,1.0583227364112329,Raw
Cluster,2.326695620022885,Raw
Batch,1.836697051001734,Raw
Cluster,1.0096709703241515,Raw
Batch,1.9984661787896643,Raw
Cluster,3.0131060425720415,Raw
