Method,Label,Mean
Harmony,Batch,-7.072596347725398e-4
Harmony,Batch,7.481649310047276e-5
Harmony,Batch,-4.7789688847342407e-4
Harmony,Batch,-6.700416582597517e-4
Harmony,Batch,-5.929627144792226e-4
Harmony,Batch,-3.9108775204977817e-4
Harmony,Batch,-4.4180167675747007e-4
Harmony,Batch,-6.392415268998157e-4
Harmony,Batch,-6.563961558000573e-4
Harmony,Batch,-3.828988986272405e-4
Harmony,Batch,-2.935271765555059e-4
Harmony,Batch,-5.176368123685724e-4
Harmony,Batch,-2.989507508513986e-4
Harmony,Batch,-5.792179964099672e-4
Harmony,Batch,-6.169248976041678e-4
Harmony,Batch,-1.236592576062116e-4
Harmony,Batch,-5.50181354224515e-4
Harmony,Batch,-4.296447335112891e-4
Harmony,Batch,1.1999357777224829e-7
Harmony,Batch,-5.803928901503926e-4
Harmony,Cluster,0.17693453895045474
Harmony,Cluster,0.17482748136191986
Harmony,Cluster,0.17507376669374694
Harmony,Cluster,0.17477870833976283
Harmony,Cluster,0.1737477890691599
Harmony,Cluster,0.17588936431018048
Harmony,Cluster,0.17427231841803367
Harmony,Cluster,0.17532118574350838
Harmony,Cluster,0.17419189852047806
Harmony,Cluster,0.17432347912901167
Harmony,Cluster,0.17792342504549682
Harmony,Cluster,0.176143116372555
Harmony,Cluster,0.17257196503264308
Harmony,Cluster,0.17843721360535753
Harmony,Cluster,0.1762135403652766
Harmony,Cluster,0.17659055535681892
Harmony,Cluster,0.17819574819150252
Harmony,Cluster,0.174715130536591
Harmony,Cluster,0.1735712829654306
Harmony,Cluster,0.17619695057988977
