Label,LISI,Method
Batch,1.9994924760634114,Seurat
Cluster,1.233165465207327,Seurat
Batch,1.7492237443874536,Seurat
Cluster,1.6512685055898697,Seurat
Batch,1.9157743839015362,Seurat
Cluster,1.8402256723587118,Seurat
Batch,1.92803523304856,Seurat
Cluster,1.5861904690687003,Seurat
Batch,1.999268858785446,Seurat
Cluster,1.9200396248411957,Seurat
Batch,1.8957053989479407,Seurat
Cluster,1.6597465243939815,Seurat
Batch,1.5610427930745354,Seurat
Cluster,1.5183366147376838,Seurat
Batch,1.7999443217453732,Seurat
Cluster,1.4187594687637854,Seurat
Batch,1.9022150253097239,Seurat
Cluster,1.3779909584059833,Seurat
Batch,1.9097293149778043,Seurat
Cluster,1.2834020080652166,Seurat
Batch,1.946540610147986,Seurat
Cluster,1.2037421399972443,Seurat
Batch,1.4799160160458382,Seurat
Cluster,1.4238783594774376,Seurat
Batch,1.7266440075645835,Seurat
Cluster,1.4036093669765712,Seurat
Batch,1.974510523618985,Seurat
Cluster,1.6936268306325069,Seurat
Batch,1.8836343896665846,Seurat
Cluster,1.6849157691051366,Seurat
Batch,1.7262923012439548,Seurat
Cluster,1.971739566490249,Seurat
Batch,1.99976935662597,Seurat
Cluster,1.959344504520802,Seurat
Batch,1.9368359709112386,Seurat
Cluster,1.853695868353821,Seurat
Batch,1.9999428407792954,Seurat
Cluster,1.9189904115196048,Seurat
Batch,1.409118748442838,Seurat
Cluster,1.7222557759677632,Seurat
Batch,1.8504955198554829,Seurat
Cluster,1.9358970398043727,Seurat
Batch,1.9909432059522467,Seurat
Cluster,1.5663427735441442,Seurat
Batch,1.8428913348232143,Seurat
Cluster,1.7244586544595575,Seurat
Batch,1.703521453710463,Seurat
Cluster,1.9997274651021388,Seurat
Batch,1.74071624981068,Seurat
Cluster,1.9999150669881565,Seurat
Batch,1.9125881954346537,Seurat
Cluster,1.6114051863969456,Seurat
Batch,1.9957278033379924,Seurat
Cluster,1.5489691183278256,Seurat
Batch,1.9844298131872102,Seurat
Cluster,1.729104067120777,Seurat
Batch,1.6363759036826153,Seurat
Cluster,1.4073702739576182,Seurat
Batch,1.7863530802202168,Seurat
Cluster,1.7515402415874501,Seurat
Batch,1.8269983500245883,Seurat
Cluster,1.4477679868410311,Seurat
Batch,1.8826834126864207,Seurat
Cluster,1.3465443758880755,Seurat
Batch,1.876494433195975,Seurat
Cluster,1.8535695074782756,Seurat
Batch,1.9970067305414125,Seurat
Cluster,1.9944379471141354,Seurat
Batch,1.9079077076739104,Seurat
Cluster,1.9705022766425315,Seurat
Batch,1.7848919570199464,Seurat
Cluster,1.219494050502346,Seurat
Batch,1.5497277094330746,Seurat
Cluster,1.432939151491462,Seurat
Batch,1.9308719454317318,Seurat
Cluster,1.2954606813426803,Seurat
Batch,1.887085955338041,Seurat
Cluster,1.4347824815780543,Seurat
Batch,1.9428932013683804,Seurat
Cluster,1.1754726997339775,Seurat
Batch,1.733891110905994,Seurat
Cluster,1.9435561017645941,Seurat
Batch,1.7560847758192009,Seurat
Cluster,1.9095648252603366,Seurat
Batch,1.7386568049053492,Seurat
Cluster,1.5808249262644638,Seurat
Batch,1.6510600348974704,Seurat
Cluster,1.4114757942763079,Seurat
Batch,1.9891792861840756,Seurat
Cluster,1.953474897990265,Seurat
Batch,1.7230075584211444,Seurat
Cluster,1.2435223921580651,Seurat
Batch,1.6104475878207642,Seurat
Cluster,1.5929961200653975,Seurat
Batch,1.783007194161266,Seurat
Cluster,1.173929688106209,Seurat
Batch,1.8960360225254362,Seurat
Cluster,1.5044986892049064,Seurat
Batch,1.9830339135861872,Seurat
Cluster,1.3087886867412786,Seurat
Batch,1.8711145242126346,Seurat
Cluster,1.337700574731871,Seurat
Batch,1.9487797081409786,Seurat
Cluster,1.2830470311326279,Seurat
Batch,1.8085311185535258,Seurat
Cluster,1.997763990627765,Seurat
Batch,1.9948821236868066,Seurat
Cluster,1.711736893194176,Seurat
Batch,1.943178484008465,Seurat
Cluster,1.3495480424398618,Seurat
Batch,1.8619331682581828,Seurat
Cluster,1.3955235759696067,Seurat
Batch,1.999861547995329,Seurat
Cluster,1.9826068285254772,Seurat
Batch,1.9432910786574495,Seurat
Cluster,1.628549423004224,Seurat
Batch,1.999854873221627,Seurat
Cluster,1.7944750117798676,Seurat
Batch,1.7417336424246987,Seurat
Cluster,1.7539454836498334,Seurat
Batch,1.9985250391343496,Seurat
Cluster,1.5323997806194773,Seurat
Batch,1.850798718247102,Seurat
Cluster,1.2904998739296716,Seurat
Batch,1.8494087826991397,Seurat
Cluster,1.1817076156144004,Seurat
Batch,1.8762479594654244,Seurat
Cluster,1.9463558314820018,Seurat
Batch,1.6800107196061334,Seurat
Cluster,1.3598320509081228,Seurat
Batch,1.9336270905769941,Seurat
Cluster,1.2799781589420234,Seurat
Batch,1.9987334290474106,Seurat
Cluster,1.8772393892499246,Seurat
Batch,1.741654108386597,Seurat
Cluster,1.9552324885368149,Seurat
Batch,1.6655552394617443,Seurat
Cluster,1.6001355476761077,Seurat
Batch,1.9456425074911838,Seurat
Cluster,1.2782187146429957,Seurat
Batch,1.9689586406063004,Seurat
Cluster,1.9958170701426927,Seurat
Batch,1.8717708442894865,Seurat
Cluster,1.9999994039537299,Seurat
Batch,1.695922323168359,Seurat
Cluster,1.8527704231985913,Seurat
Batch,1.922518968186571,Seurat
Cluster,1.9037454975699388,Seurat
Batch,1.9945353976435611,Seurat
Cluster,1.2157107229774349,Seurat
Batch,1.9994927143610313,Seurat
Cluster,1.431346258652209,Seurat
Batch,1.8432721378231673,Seurat
Cluster,1.2152342587145297,Seurat
Batch,1.9315219968850479,Seurat
Cluster,1.5141688503627313,Seurat
Batch,1.883141924098527,Seurat
Cluster,1.3206714690988726,Seurat
Batch,1.5628819978325037,Seurat
Cluster,1.4498809231918197,Seurat
Batch,1.5398909114184844,Seurat
Cluster,1.632593431946711,Seurat
Batch,1.9210628744379092,Seurat
Cluster,1.3521509482166885,Seurat
Batch,1.6332603338868,Seurat
Cluster,1.5711543171294757,Seurat
Batch,1.786114242423561,Seurat
Cluster,1.378635676133574,Seurat
Batch,1.9833414232729714,Seurat
Cluster,1.526874596788276,Seurat
Batch,1.9889712920283995,Seurat
Cluster,1.6129882676972276,Seurat
Batch,1.4514900321354973,Seurat
Cluster,1.3779774015991388,Seurat
Batch,1.7823309240871668,Seurat
Cluster,1.8708111526764133,Seurat
Batch,1.9963611529923033,Seurat
Cluster,1.2013501741484878,Seurat
Batch,1.9933341137299678,Seurat
Cluster,1.2425697167404586,Seurat
Batch,1.993776140159339,Seurat
Cluster,1.237785820107018,Seurat
Batch,1.8330889241682307,Seurat
Cluster,1.177715758400669,Seurat
Batch,1.8605278061017196,Seurat
Cluster,1.3599411130058636,Seurat
Batch,1.9391039956967402,Seurat
Cluster,1.820579985399575,Seurat
Batch,1.9997173947129927,Seurat
Cluster,1.427474999394706,Seurat
Batch,1.5855884370157716,Seurat
Cluster,1.968948762192117,Seurat
Batch,1.9324892974103283,Seurat
Cluster,1.832122310744752,Seurat
Batch,1.9586621028570974,Seurat
Cluster,1.5815321895059486,Seurat
Batch,1.9165941565307887,Seurat
Cluster,1.9638988256880208,Seurat
Batch,1.947573148121438,Seurat
Cluster,1.9971005097498604,Seurat
Batch,1.9739141839591505,Seurat
Cluster,1.9428160864884219,Seurat
Batch,1.9402724812026597,Seurat
Cluster,1.7571941081025209,Seurat
Batch,1.8383072768520228,Seurat
Cluster,1.9998650641886793,Seurat
Batch,1.999271241231218,Seurat
Cluster,1.9161298809138383,Seurat
Batch,1.9581783106911548,Seurat
Cluster,1.1820466353803796,Seurat
Batch,1.9737067575616511,Seurat
Cluster,1.9526399259968656,Seurat
Batch,1.8769619562934277,Seurat
Cluster,1.8641528205629065,Seurat
Batch,1.7376555106310534,Seurat
Cluster,1.204110342665869,Seurat
Batch,1.3122235339356751,Seurat
Cluster,1.1663609769228462,Seurat
Batch,1.488738237214577,Seurat
Cluster,1.5427472150438493,Seurat
Batch,1.8588723337222877,Seurat
Cluster,1.7151887841163111,Seurat
Batch,1.848520962626631,Seurat
Cluster,1.5364309138246393,Seurat
Batch,1.9945401400047624,Seurat
Cluster,1.6345075296577352,Seurat
Batch,1.9934286141604742,Seurat
Cluster,1.8376686247301177,Seurat
Batch,1.5864925660773164,Seurat
Cluster,1.4429111727738586,Seurat
Batch,1.954994398996262,Seurat
Cluster,1.3966249116754024,Seurat
Batch,1.9470025691236779,Seurat
Cluster,1.9610154860019813,Seurat
Batch,1.997095517478795,Seurat
Cluster,1.743197718775082,Seurat
Batch,1.9609568661374301,Seurat
Cluster,1.8293970961843544,Seurat
Batch,1.8832802239881372,Seurat
Cluster,1.5294709117644154,Seurat
Batch,1.8340687884185465,Seurat
Cluster,1.740074313658255,Seurat
Batch,1.9682916370679788,Seurat
Cluster,1.919489344837536,Seurat
Batch,1.9920006950600189,Seurat
Cluster,1.954712696643319,Seurat
Batch,1.9828936992611728,Seurat
Cluster,1.260062561001208,Seurat
Batch,1.7860682746068837,Seurat
Cluster,1.2535431106897654,Seurat
Batch,1.918119190417096,Seurat
Cluster,1.7638059576649443,Seurat
