Label,LISI,Method
Batch,1.5180058051528755,JIVE
Cluster,1,JIVE
Batch,1.9121587115747112,JIVE
Cluster,1,JIVE
Batch,1.271572296793816,JIVE
Cluster,1,JIVE
Batch,1.8679905398080228,JIVE
Cluster,1.0000635415763541,JIVE
Batch,1.9473642134443647,JIVE
Cluster,1,JIVE
Batch,1.9129458916190487,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.727975690619087,JIVE
Cluster,1.0000182392711556,JIVE
Batch,1.7011994064434823,JIVE
Cluster,1,JIVE
Batch,1.8999368885262027,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.9787186985418652,JIVE
Cluster,1,JIVE
Batch,1.2231256825413657,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.3676494954178775,JIVE
Cluster,1,JIVE
Batch,1.9933106676420618,JIVE
Cluster,1,JIVE
Batch,1.3147249294599248,JIVE
Cluster,1,JIVE
Batch,1.8770234318079213,JIVE
Cluster,1,JIVE
Batch,1.9981212994790891,JIVE
Cluster,1,JIVE
Batch,1.7888017621448329,JIVE
Cluster,1,JIVE
Batch,1.976690038208996,JIVE
Cluster,1.0001824151679486,JIVE
Batch,1.9914672596320497,JIVE
Cluster,1,JIVE
Batch,1.9717676060217644,JIVE
Cluster,1,JIVE
Batch,1.8861945758297907,JIVE
Cluster,1.002006624006712,JIVE
Batch,1.6310720028520302,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.9915003545797167,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.2962315303014436,JIVE
Cluster,1,JIVE
Batch,1.295464926363174,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.9953771048559428,JIVE
Cluster,1,JIVE
Batch,1.9008224630657513,JIVE
Cluster,1,JIVE
Batch,1.9841666087165493,JIVE
Cluster,1,JIVE
Batch,1.9937727045786988,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.9989778857354652,JIVE
Cluster,1,JIVE
Batch,1.8804801400170201,JIVE
Cluster,1,JIVE
Batch,1.9974578785525052,JIVE
Cluster,1,JIVE
Batch,1.9762536340521186,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.9831759645288303,JIVE
Cluster,1,JIVE
Batch,1.8720739004964302,JIVE
Cluster,1,JIVE
Batch,1.9988115939110958,JIVE
Cluster,1,JIVE
Batch,1.907949691822954,JIVE
Cluster,1,JIVE
Batch,1.8385923897287877,JIVE
Cluster,1,JIVE
Batch,1.865882665717778,JIVE
Cluster,1,JIVE
Batch,1.9068020853397454,JIVE
Cluster,1,JIVE
Batch,1.8776951474091188,JIVE
Cluster,1,JIVE
Batch,1.6770185099896868,JIVE
Cluster,1,JIVE
Batch,1.9098916588431216,JIVE
Cluster,1,JIVE
Batch,1.5400282957164844,JIVE
Cluster,1,JIVE
Batch,1.4974312015388525,JIVE
Cluster,1,JIVE
Batch,1.8723335395883185,JIVE
Cluster,1,JIVE
Batch,1.562600194905716,JIVE
Cluster,1,JIVE
Batch,1.9635755973894389,JIVE
Cluster,1,JIVE
Batch,1.9995484179880765,JIVE
Cluster,1,JIVE
Batch,1.8852883077698877,JIVE
Cluster,1,JIVE
Batch,1.9686611762648958,JIVE
Cluster,1,JIVE
Batch,1.8344215332860958,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.494579965226208,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.990851126254612,JIVE
Cluster,1,JIVE
Batch,1.9809840612655447,JIVE
Cluster,1,JIVE
Batch,1.7061158679228376,JIVE
Cluster,1,JIVE
Batch,1.5860878432078713,JIVE
Cluster,1,JIVE
Batch,1.8051500044927773,JIVE
Cluster,1,JIVE
Batch,1.9247393247650055,JIVE
Cluster,1.0475763618935587,JIVE
Batch,1.9187783473849318,JIVE
Cluster,1,JIVE
Batch,1.9819469953842388,JIVE
Cluster,1.0018014168440637,JIVE
Batch,1.9998222747438166,JIVE
Cluster,1,JIVE
Batch,1.7829347171826062,JIVE
Cluster,1,JIVE
Batch,1.9841405619597479,JIVE
Cluster,1,JIVE
Batch,1.9580193087138265,JIVE
Cluster,1,JIVE
Batch,1.9215705341140237,JIVE
Cluster,1,JIVE
Batch,1.6361249634449948,JIVE
Cluster,1,JIVE
Batch,1.873765851193836,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.9911652008809935,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.8572373316613209,JIVE
Cluster,1,JIVE
Batch,1.6271009438896948,JIVE
Cluster,1,JIVE
Batch,1.7506146558795745,JIVE
Cluster,1.001946304702832,JIVE
Batch,1.5900642404172336,JIVE
Cluster,1,JIVE
Batch,1.8573080594198081,JIVE
Cluster,1,JIVE
Batch,1.8075187778348227,JIVE
Cluster,1,JIVE
Batch,1.927884245239071,JIVE
Cluster,1,JIVE
Batch,1.8674734793267243,JIVE
Cluster,1,JIVE
Batch,1.9536382813153417,JIVE
Cluster,1,JIVE
Batch,1.8946913244029024,JIVE
Cluster,1,JIVE
Batch,1.9856856596035106,JIVE
Cluster,1.000345200239671,JIVE
Batch,1.487204223195193,JIVE
Cluster,1,JIVE
Batch,1.7881494391721136,JIVE
Cluster,1,JIVE
Batch,1.9934381475961718,JIVE
Cluster,1,JIVE
Batch,1.3244318075823585,JIVE
Cluster,1,JIVE
Batch,1.7292202875321236,JIVE
Cluster,1.010178232208515,JIVE
Batch,1.9349651556210032,JIVE
Cluster,1,JIVE
Batch,1.9996007881855948,JIVE
Cluster,1.0026665470438894,JIVE
Batch,1.889802088104735,JIVE
Cluster,1,JIVE
Batch,1.534493817261181,JIVE
Cluster,1,JIVE
Batch,1.5869673040419283,JIVE
Cluster,1,JIVE
Batch,1.8869857750187873,JIVE
Cluster,1,JIVE
Batch,1.651965496205135,JIVE
Cluster,1,JIVE
Batch,1.997839165360056,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.7701404095131292,JIVE
Cluster,1.0000001192093038,JIVE
Batch,1.8708393157669208,JIVE
Cluster,1,JIVE
Batch,1.8379327504879976,JIVE
Cluster,1,JIVE
Batch,1.3501344798250035,JIVE
Cluster,1,JIVE
Batch,1.4142859428688037,JIVE
Cluster,1,JIVE
Batch,1.94300120623881,JIVE
Cluster,1.0013895190006936,JIVE
Batch,1.76627977703071,JIVE
Cluster,1,JIVE
Batch,1.8614232242981115,JIVE
Cluster,1,JIVE
