Label,LISI,Method
Batch,1.0806495161758654,Raw
Cluster,1.0130539252562585,Raw
Batch,1.1059224865262938,Raw
Cluster,1,Raw
Batch,1.0327862672615424,Raw
Cluster,1.00750701574739,Raw
Batch,1.3251604703488993,Raw
Cluster,1.0783213726476297,Raw
Batch,1.0766783678856944,Raw
Cluster,1.3263175133858973,Raw
Batch,1.0358701186005592,Raw
Cluster,1.0077397209116976,Raw
Batch,1.25377451794881,Raw
Cluster,1,Raw
Batch,1.093437560781955,Raw
Cluster,1,Raw
Batch,1.269651091181102,Raw
Cluster,1.0975223561780563,Raw
Batch,1.592141544087664,Raw
Cluster,1.0149380232518859,Raw
Batch,1.015194628182383,Raw
Cluster,1.0203483060746195,Raw
Batch,1.0710651578653492,Raw
Cluster,1.0145075552273506,Raw
Batch,1.01175762732409,Raw
Cluster,1.0013711227680946,Raw
Batch,1.4414293017595905,Raw
Cluster,1.0323600997659965,Raw
Batch,1.05725076244547,Raw
Cluster,1.0079863792170454,Raw
Batch,1.1980119885389586,Raw
Cluster,1.0382382963707628,Raw
Batch,1.1541825403715353,Raw
Cluster,1.0091156436932913,Raw
Batch,1.0318085954276288,Raw
Cluster,1.0088007493955258,Raw
Batch,1.0151588448989053,Raw
Cluster,1.0119736571882323,Raw
Batch,1.2834139703142051,Raw
Cluster,1,Raw
Batch,1.112274760619466,Raw
Cluster,1.001391191506575,Raw
Batch,1.2596761923227744,Raw
Cluster,1.0025740358274913,Raw
Batch,1.051758326751353,Raw
Cluster,1,Raw
Batch,1.0747726294276634,Raw
Cluster,1.024442788276822,Raw
Batch,1.2544046735898002,Raw
Cluster,1.031673038337276,Raw
Batch,1.3878995990166925,Raw
Cluster,1.0524507930354872,Raw
Batch,1.0040066355363173,Raw
Cluster,1.0011341074585371,Raw
Batch,1.2876689495986766,Raw
Cluster,1,Raw
Batch,1.0093195302987026,Raw
Cluster,1,Raw
Batch,1.1052746484908866,Raw
Cluster,1.1503176910524935,Raw
Batch,1.021093287170077,Raw
Cluster,1.0035100870922515,Raw
Batch,1.1820686403637506,Raw
Cluster,1.0000001192093038,Raw
Batch,1.0102202299144283,Raw
Cluster,1.0023601606753056,Raw
Batch,1.0225281164827476,Raw
Cluster,1.0038918764146854,Raw
Batch,1.003166901970885,Raw
Cluster,1,Raw
Batch,1.1190652300822759,Raw
Cluster,1.0267966362889436,Raw
Batch,1.0365574053796045,Raw
Cluster,1.0103184514079064,Raw
Batch,1.0168697512745983,Raw
Cluster,1,Raw
Batch,1.0419018269112736,Raw
Cluster,1.0796547935651946,Raw
Batch,1.2750859654066062,Raw
Cluster,1.0533450038823455,Raw
Batch,1.0253144443685491,Raw
Cluster,1.0065166894109958,Raw
Batch,1.0756598939316535,Raw
Cluster,1.0046529267685813,Raw
Batch,1,Raw
Cluster,1.0028591495150434,Raw
Batch,1.2079070590770034,Raw
Cluster,1.0168226345607891,Raw
Batch,1.075867935655721,Raw
Cluster,1.0036087800410798,Raw
Batch,1.098000729581663,Raw
Cluster,1.0155112215137656,Raw
Batch,1.068177733718967,Raw
Cluster,1.0130096237442259,Raw
Batch,1.1003070853647359,Raw
Cluster,1.0022541757718018,Raw
Batch,1.009462359633118,Raw
Cluster,1,Raw
Batch,1.0568213054408238,Raw
Cluster,1.0745085700793608,Raw
Batch,1.0771654852973667,Raw
Cluster,1,Raw
Batch,1.0075303432381084,Raw
Cluster,1.002587917757594,Raw
Batch,1.2299741095322856,Raw
Cluster,1.0113255926224511,Raw
Batch,1.1765226671341806,Raw
Cluster,1.014549153232221,Raw
Batch,1.1014376807260626,Raw
Cluster,1.0401213800912295,Raw
Batch,1.0454186033042643,Raw
Cluster,1.1074473658174084,Raw
Batch,1.0549884511644234,Raw
Cluster,1.0096262613923144,Raw
Batch,1.0572246201329616,Raw
Cluster,1.0025142038945885,Raw
Batch,1.0239019088418428,Raw
Cluster,1.006005833147809,Raw
Batch,1.0083631136234568,Raw
Cluster,1.0157565116687766,Raw
Batch,1.0300610096665976,Raw
Cluster,1.0572204756260652,Raw
Batch,1.0779515028649191,Raw
Cluster,1.0086202639600654,Raw
Batch,1.0020592957154555,Raw
Cluster,1,Raw
Batch,1.0716343460197575,Raw
Cluster,1.0075616877127076,Raw
Batch,1.0589712663685948,Raw
Cluster,1.0017177500472145,Raw
Batch,1.0735782667666092,Raw
Cluster,1,Raw
Batch,1.1083159014687554,Raw
Cluster,1.03719482857544,Raw
Batch,1.1957520141623017,Raw
Cluster,1.005375062827741,Raw
Batch,1.2264686592003287,Raw
Cluster,1.0786014335015774,Raw
Batch,1.0895028727147327,Raw
Cluster,1.0582083463164387,Raw
Batch,1.0233113594494039,Raw
Cluster,1.0143674959018545,Raw
Batch,1.2549073975947824,Raw
Cluster,1.0026441059737978,Raw
Batch,1.04321631527891,Raw
Cluster,1,Raw
Batch,1.0791471943280042,Raw
Cluster,1.0130355736724732,Raw
Batch,1.0425970982698463,Raw
Cluster,1.0026957510913563,Raw
Batch,1.0398849050448686,Raw
Cluster,1.0232262362737294,Raw
Batch,1.0668458601150084,Raw
Cluster,1.051721588733292,Raw
Batch,1.2361687823816663,Raw
Cluster,1.357683780181752,Raw
Batch,1.6026645710754246,Raw
Cluster,1.0124815152633684,Raw
Batch,1.0269484901821484,Raw
Cluster,1.0113923963346165,Raw
Batch,1.202179543981674,Raw
Cluster,1.0018971086773,Raw
Batch,1.0504603817943887,Raw
Cluster,1.0379285120675865,Raw
Batch,1.052483618382641,Raw
Cluster,1.2535985633640565,Raw
Batch,1.0764813220248528,Raw
Cluster,1.0292974877830465,Raw
Batch,1.2569094980460482,Raw
Cluster,1.408385107769484,Raw
Batch,1.0093072615077978,Raw
Cluster,1.0049982540558469,Raw
Batch,1.07681797799387,Raw
Cluster,1,Raw
Batch,1.2526518070710575,Raw
Cluster,1.13285593880731,Raw
Batch,1.0120811207459606,Raw
Cluster,1.0030209114928588,Raw
Batch,1.4361807995405855,Raw
Cluster,1.009742183636101,Raw
Batch,1.0024375665392578,Raw
Cluster,1,Raw
Batch,1.2751060453357275,Raw
Cluster,1.0302922740199436,Raw
Batch,1.1181714525624047,Raw
Cluster,1.101281561829824,Raw
Batch,1.213486237794404,Raw
Cluster,1.0995838909700293,Raw
Batch,1.0715754824004498,Raw
Cluster,1.081844490746535,Raw
Batch,1.365707178724425,Raw
Cluster,1.2585761898292471,Raw
Batch,1.1022622114169294,Raw
Cluster,1.0023204443682767,Raw
Batch,1.1897644773781122,Raw
Cluster,1.0025148021334844,Raw
Batch,1.1950353591646494,Raw
Cluster,1.0460433677275882,Raw
Batch,1.013229518118816,Raw
Cluster,1,Raw
Batch,1.0918804191332379,Raw
Cluster,1,Raw
Batch,1.0679510177962444,Raw
Cluster,1.0388305917105314,Raw
Batch,1.0736001623243814,Raw
Cluster,1.0166849091288723,Raw
Batch,1.0663722770182795,Raw
Cluster,1.0084625216514684,Raw
Batch,1.2032823528835621,Raw
Cluster,1.0952408962443623,Raw
Batch,1.0409798256353373,Raw
Cluster,1.0105754463220118,Raw
Batch,1.0701462644469852,Raw
Cluster,1.0023588447107779,Raw
Batch,1.0675323028491481,Raw
Cluster,1,Raw
Batch,1,Raw
Cluster,1.002844184573954,Raw
Batch,1.016147901601488,Raw
Cluster,1.003250869887093,Raw
Batch,1.034454547107876,Raw
Cluster,1.0130572063917134,Raw
Batch,1.0088584862185128,Raw
Cluster,1.0783339564655108,Raw
Batch,1.0101495493272172,Raw
Cluster,1.0000001192093038,Raw
Batch,1.0358194947428172,Raw
Cluster,1.0000001192093038,Raw
Batch,1.0881244292320345,Raw
Cluster,1.036029045452366,Raw
Batch,1.3963951348466166,Raw
Cluster,1.0118304786499825,Raw
Batch,1.0662658677389567,Raw
Cluster,1.0030422871303821,Raw
Batch,1.0421576091846914,Raw
Cluster,1.0113787549103073,Raw
Batch,1.1701697863573504,Raw
Cluster,1.0751178673056059,Raw
Batch,1.029664140845486,Raw
Cluster,1.0739327465555082,Raw
Batch,1.0328166617559638,Raw
Cluster,1.0255047127479482,Raw
Batch,1.0297254655147845,Raw
Cluster,1.011614616318568,Raw
Batch,1.154409698381375,Raw
Cluster,1.0702482192172111,Raw
Batch,1.4158896266764789,Raw
Cluster,1.0120282668706904,Raw
Batch,1.0082204560507024,Raw
Cluster,1,Raw
Batch,1.0164582194634812,Raw
Cluster,1.0115973330690409,Raw
Batch,1.0865049532752342,Raw
Cluster,1.0022925125590874,Raw
Batch,1.059482418520618,Raw
Cluster,1.009999071976333,Raw
Batch,1.037921334596335,Raw
Cluster,1.0090938332830717,Raw
Batch,1.3637065759657405,Raw
Cluster,1.0193332088497125,Raw
Batch,1.1394513440415641,Raw
Cluster,1,Raw
Batch,1.0408958764253275,Raw
Cluster,1,Raw
Batch,1.0170932768177448,Raw
Cluster,1.012646512995445,Raw
Batch,1,Raw
Cluster,1,Raw
Batch,1.0768953965371157,Raw
Cluster,1.1923726811818534,Raw
Batch,1.0463972473946095,Raw
Cluster,1.0059098538892148,Raw
Batch,1.0477870483285316,Raw
Cluster,1.0085317593123826,Raw
Batch,1.0098932077943001,Raw
Cluster,1.0054315453364755,Raw
Batch,1.592985305411293,Raw
Cluster,1.1222047231273073,Raw
Batch,1.1536081475594915,Raw
Cluster,1.0019586191293617,Raw
Batch,1.0480971533638002,Raw
Cluster,1.1010303153560947,Raw
Batch,1.1298951200476273,Raw
Cluster,1.056078276427433,Raw
Batch,1.0694929941034361,Raw
Cluster,1,Raw
Batch,1.0113012246040498,Raw
Cluster,1.00141508352958,Raw
Batch,1.074236529929688,Raw
Cluster,1.013525008885747,Raw
